First name;Last name;City;Age;Email
John;Hillnob;Oxford;52;john.hillnob@ninjamail.org
Linda;Mellonson;Leicester;95;linda.mellonson@ninyahoo.co
Mary;Nipson;Oxford;54;mary.nipson@ninyahoo.co
Jason;Castlenob;Cambridge;101;jason.castlenob@ninjamail.org
Diana;Castlebutter;Cambridge;67;diana.castlebutter@ninjamail.org
Mary;Gradnip;Oxford;76;mary.gradnip@hotsumo.com
John;Nipwhale;Newcastle;88;john.nipwhale@ninyahoo.co
John;Hillwhale;Newcastle;46;john.hillwhale@hotsumo.com
Tim;Nobwhale;Leicester;71;tim.nobwhale@hotsumo.com
Tim;Whalenob;Newcastle;22;tim.whalenob@dojobox.net
Anna;Castlemellon;London;57;anna.castlemellon@ninjamail.org
Diana;Castlecastle;Newcastle;96;diana.castlecastle@ninjamail.org
Diana;Nobsmith;Leicester;57;diana.nobsmith@ninyahoo.co
Carol;Whalenob;London;30;carol.whalenob@ninyahoo.co
Anna;Gradhill;London;25;anna.gradhill@hotsumo.com
John;Castlebutter;London;64;john.castlebutter@ninyahoo.co
Mary;Nobmellon;London;68;mary.nobmellon@ninjamail.org
Carol;Smithgrad;Newcastle;36;carol.smithgrad@dojobox.net
David;Hillcastle;London;24;david.hillcastle@ninyahoo.co
Maggie;Smithgrad;Newcastle;50;maggie.smithgrad@dojobox.net
Anna;Nipsmith;London;65;anna.nipsmith@ninyahoo.co
Diana;Underbutter;Leicester;91;diana.underbutter@ninyahoo.co
Maggie;Butterson;Leicester;50;maggie.butterson@ninjamail.org
Mary;Scotchnob;Leicester;96;mary.scotchnob@dojobox.net
Tim;Butternip;Oxford;79;tim.butternip@ninyahoo.co
John;Whalescotch;Oxford;69;john.whalescotch@hotsumo.com
Diana;Melloncastle;Newcastle;71;diana.melloncastle@ninyahoo.co
Diana;Scotchcastle;Oxford;63;diana.scotchcastle@ninyahoo.co
Carol;Smithsmith;Newcastle;66;carol.smithsmith@ninjamail.org
Mary;Castlenob;Newcastle;27;mary.castlenob@ninjamail.org
